"timestamp"	"pageviews"
2015-02-07	34401000
2015-02-08	37906000
2015-02-09	39202000
2015-02-10	40264000
2015-02-11	38472000
2015-02-12	37649000
2015-02-13	35640000
2015-02-14	34719000
2015-02-15	38763000
2015-02-16	38799000
2015-02-17	37565000
2015-02-18	27028000
2015-02-19	26199000
2015-02-20	26296000
2015-02-21	24854000
2015-02-22	25990000
2015-02-23	27937000
2015-02-24	29292000
2015-02-25	28307000
2015-02-26	26777000
2015-02-27	27148000
2015-02-28	27851000
2015-03-01	29566000
2015-03-02	30251000
2015-03-03	29657000
2015-03-04	28785000
2015-03-05	28893000
2015-03-06	26342000
2015-03-07	24285000
2015-03-08	24237000
2015-03-09	27512000
2015-03-10	26794000
2015-03-11	26752000
2015-03-12	25675000
2015-03-13	25042000
2015-03-14	23470000
2015-03-15	26851000
2015-03-16	27018000
2015-03-17	28022000
2015-03-18	28151000
2015-03-19	27527000
2015-03-20	26605000
2015-03-21	24947000
2015-03-22	27858000
2015-03-23	28474000
2015-03-24	27736000
2015-03-25	27961000
2015-03-26	28434000
2015-03-27	27224000
2015-03-28	24845000
2015-03-29	28878000
2015-03-30	30601000
2015-03-31	29788000
2015-04-01	28461000
2015-04-02	29049000
2015-04-03	28389000
2015-04-04	25880000
2015-04-05	28917000
2015-04-06	29540000
2015-04-07	29507000
2015-04-08	29057000
2015-04-09	29446000
2015-04-10	26183000
2015-04-11	23050000
2015-04-12	25582000
2015-04-13	28623000
2015-04-14	28186000
2015-04-15	28093000
2015-04-16	27463000
2015-04-17	25486000
2015-04-18	24281000
2015-04-19	27686000
2015-04-20	28048000
2015-04-21	28685000
2015-04-22	28616000
2015-04-23	27480000
2015-04-24	26026000
2015-04-25	24011000
2015-04-26	28407000
2015-04-27	29380000
2015-04-28	27055000
2015-04-29	26742000
2015-04-30	24677000
2015-05-01	22737000
2015-05-02	23361000
2015-05-03	26344000
2015-05-04	28219000
2015-05-05	28073000
2015-05-06	27079000
2015-05-07	27434000
2015-05-08	25230000
2015-05-09	22151000
2015-05-10	24924000
2015-05-11	28552000
2015-05-12	30235000
2015-05-13	29128000
2015-05-14	28650000
2015-05-15	26510000
2015-05-16	25349000
2015-05-17	29727000
2015-05-18	30573000
2015-05-19	29651000
2015-05-20	27221000
2015-05-21	27674000
2015-05-22	24464000
2015-05-23	22495000
2015-05-24	27628000
2015-05-25	4767000
