"timestamp"	"pageviews"
2014-03-01	620687000
2014-03-02	683536000
2014-03-03	738885000
2014-03-04	710377000
2014-03-05	706437000
2014-03-06	686806000
2014-03-07	656596000
2014-03-08	622686000
2014-03-09	678390000
2014-03-10	712761000
2014-03-11	726426000
2014-03-12	717650000
2014-03-13	704044000
2014-03-14	650372000
2014-03-15	626476000
2014-03-16	696408000
2014-03-17	726795000
2014-03-18	713706000
2014-03-19	715641000
2014-03-20	717554000
2014-03-21	671998000
2014-03-22	643022000
2014-03-23	711887000
2014-03-24	736991000
2014-03-25	727093000
2014-03-26	713682000
2014-03-27	697885000
2014-03-28	651249000
2014-03-29	619450000
2014-03-30	670459000
2014-03-31	726908000
2014-04-01	716335000
2014-04-02	701543000
2014-04-03	696265000
2014-04-04	669290000
2014-04-05	609161000
2014-04-06	679903000
2014-04-07	735083000
2014-04-08	733487000
2014-04-09	742318000
2014-04-10	695190000
2014-04-11	655072000
2014-04-12	615572000
2014-04-13	664899000
2014-04-14	701076000
2014-04-15	701549000
2014-04-16	682140000
2014-04-17	650574000
2014-04-18	648020000
2014-04-19	623416000
2014-04-20	661644000
2014-04-21	709697000
2014-04-22	722575000
2014-04-23	713425000
2014-04-24	717954000
2014-04-25	693181000
2014-04-26	641951000
2014-04-27	706353000
2014-04-28	737907000
2014-04-29	728358000
2014-04-30	688900000
2014-05-01	687464000
2014-05-02	690107000
2014-05-03	643765000
2014-05-04	697291000
2014-05-05	743375000
2014-05-06	747187000
2014-05-07	731605000
2014-05-08	711976000
2014-05-09	673597000
2014-05-10	648674000
2014-05-11	677698000
2014-05-12	735947000
2014-05-13	727623000
2014-05-14	720170000
2014-05-15	697292000
2014-05-16	666478000
2014-05-17	600821000
2014-05-18	671036000
2014-05-19	717286000
2014-05-20	725174000
2014-05-21	716866000
2014-05-22	699750000
2014-05-23	658801000
2014-05-24	622774000
2014-05-25	669891000
2014-05-26	718275000
2014-05-27	728212000
2014-05-28	713084000
2014-05-29	709092000
2014-05-30	655145000
2014-05-31	615990000
2014-06-01	680313000
2014-06-02	728286000
2014-06-03	717095000
2014-06-04	735594000
2014-06-05	706671000
2014-06-06	688000000
2014-06-07	608410000
2014-06-08	659494000
2014-06-09	735228000
2014-06-10	720741000
2014-06-11	693689000
2014-06-12	694448000
2014-06-13	654284000
2014-06-14	649462000
2014-06-15	675303000
2014-06-16	708682000
2014-06-17	701138000
2014-06-18	693784000
2014-06-19	685218000
2014-06-20	643068000
2014-06-21	606507000
2014-06-22	656110000
2014-06-23	682505000
2014-06-24	677957000
2014-06-25	696120000
2014-06-26	689771000
2014-06-27	664278000
2014-06-28	626131000
2014-06-29	655262000
2014-06-30	685659000
2014-07-01	673052000
2014-07-02	687201000
2014-07-03	686796000
2014-07-04	658355000
2014-07-05	626012000
2014-07-06	671545000
2014-07-07	700628000
2014-07-08	693801000
2014-07-09	700746000
2014-07-10	699247000
2014-07-11	684989000
2014-07-12	635306000
2014-07-13	674041000
2014-07-14	699444000
2014-07-15	675209000
2014-07-16	662149000
2014-07-17	650706000
2014-07-18	635654000
2014-07-19	601361000
2014-07-20	637433000
2014-07-21	682809000
2014-07-22	678969000
2014-07-23	683106000
2014-07-24	684789000
2014-07-25	653232000
2014-07-26	605768000
2014-07-27	634111000
2014-07-28	675629000
2014-07-29	656644000
2014-07-30	666424000
2014-07-31	656539000
2014-08-01	635020000
2014-08-02	606243000
2014-08-03	630535000
2014-08-04	672550000
2014-08-05	666804000
2014-08-06	667474000
2014-08-07	660033000
2014-08-08	641295000
2014-08-09	615575000
2014-08-10	650089000
2014-08-11	682457000
2014-08-12	717954000
2014-08-13	710297000
2014-08-14	683298000
2014-08-15	652672000
2014-08-16	624563000
2014-08-17	659033000
2014-08-18	698506000
2014-08-19	697330000
2014-08-20	690590000
2014-08-21	687051000
2014-08-22	676056000
2014-08-23	629861000
2014-08-24	670676000
2014-08-25	710012000
2014-08-26	740484000
2014-08-27	734386000
2014-08-28	716606000
2014-08-29	690181000
2014-08-30	647371000
2014-08-31	668238000
2014-09-01	711684000
2014-09-02	722044000
2014-09-03	716277000
2014-09-04	713565000
2014-09-05	682183000
2014-09-06	646659000
2014-09-07	694307000
2014-09-08	726806000
2014-09-09	719935000
2014-09-10	712826000
2014-09-11	715565000
2014-09-12	683616000
2014-09-13	632526000
2014-09-14	698421000
2014-09-15	735114000
2014-09-16	718592000
2014-09-17	715483000
2014-09-18	714902000
2014-09-19	689338000
2014-09-20	636945000
2014-09-21	709806000
2014-09-22	746553000
2014-09-23	755187000
2014-09-24	739663000
2014-09-25	736712000
2014-09-26	698959000
2014-09-27	647150000
2014-09-28	711515000
2014-09-29	733051000
2014-09-30	724556000
2014-10-01	717100000
2014-10-02	700459000
2014-10-03	664433000
2014-10-04	630292000
2014-10-05	679364000
2014-10-06	745375000
2014-10-07	738990000
2014-10-08	732965000
2014-10-09	726597000
2014-10-10	697286000
2014-10-11	660604000
2014-10-12	718466000
2014-10-13	764980000
2014-10-14	744682000
2014-10-15	733261000
2014-10-16	712700000
2014-10-17	675446000
2014-10-18	632884000
2014-10-19	693334000
2014-10-20	752664000
2014-10-21	739574000
2014-10-22	738543000
2014-10-23	723670000
2014-10-24	692538000
2014-10-25	657651000
2014-10-26	707915000
2014-10-27	750532000
2014-10-28	739718000
2014-10-29	741000000
2014-10-30	712523000
2014-10-31	668922000
2014-11-01	649906000
2014-11-02	710228000
2014-11-03	760077000
2014-11-04	781896000
2014-11-05	757969000
2014-11-06	742923000
2014-11-07	696025000
2014-11-08	668819000
2014-11-09	725771000
2014-11-10	764380000
2014-11-11	770779000
2014-11-12	753981000
2014-11-13	742897000
2014-11-14	708450000
2014-11-15	700688000
2014-11-16	738894000
2014-11-17	759412000
2014-11-18	756773000
2014-11-19	742561000
2014-11-20	726741000
2014-11-21	694169000
2014-11-22	660087000
2014-11-23	711537000
2014-11-24	756976000
2014-11-25	729766000
2014-11-26	714223000
2014-11-27	692160000
2014-11-28	666309000
2014-11-29	656306000
2014-11-30	571503000
2014-12-01	752346000
2014-12-02	729457000
2014-12-03	754005000
2014-12-04	715435000
2014-12-05	685900000
2014-12-06	648457000
2014-12-07	695363000
2014-12-08	734199000
2014-12-09	739879000
2014-12-10	730487000
2014-12-11	710592000
2014-12-12	673198000
2014-12-13	650486000
2014-12-14	692030000
2014-12-15	717887000
2014-12-16	729539000
2014-12-17	704036000
2014-12-18	679146000
2014-12-19	642737000
2014-12-20	628671000
2014-12-21	644428000
2014-12-22	668502000
2014-12-23	648364000
2014-12-24	596143000
2014-12-25	602144000
2014-12-26	652405000
2014-12-27	641953000
2014-12-28	668923000
2014-12-29	681196000
2014-12-30	658594000
2014-12-31	603400000
2015-01-01	639389000
2015-01-02	697914000
2015-01-03	702051000
2015-01-04	729484000
2015-01-05	731506000
2015-01-06	746355000
2015-01-07	742510000
2015-01-08	742570000
2015-01-09	715529000
2015-01-10	699296000
2015-01-11	742944000
2015-01-12	768326000
2015-01-13	729768000
2015-01-14	750982000
2015-01-15	749179000
2015-01-16	715074000
2015-01-17	693264000
2015-01-18	737416000
2015-01-19	774142000
2015-01-20	760481000
2015-01-21	759110000
2015-01-22	747776000
2015-01-23	734513000
2015-01-24	689957000
2015-01-25	751765000
2015-01-26	809345000
2015-01-27	787762000
2015-01-28	748616000
2015-01-29	741114000
2015-01-30	704900000
2015-01-31	680929000
2015-02-01	730904000
2015-02-02	745111000
2015-02-03	733893000
2015-02-04	735308000
2015-02-05	729550000
2015-02-06	712754000
2015-02-07	679698000
2015-02-08	731516000
2015-02-09	770616000
2015-02-10	767714000
2015-02-11	766969000
2015-02-12	722007000
2015-02-13	690490000
2015-02-14	671289000
2015-02-15	712927000
2015-02-16	751145000
2015-02-17	753270000
2015-02-18	727579000
2015-02-19	712117000
2015-02-20	705719000
2015-02-21	681324000
2015-02-22	733689000
2015-02-23	780662000
2015-02-24	774881000
2015-02-25	770938000
2015-02-26	732146000
2015-02-27	698955000
2015-02-28	674037000
2015-03-01	726618000
2015-03-02	761610000
2015-03-03	755376000
2015-03-04	752881000
2015-03-05	739083000
2015-03-06	702975000
2015-03-07	657779000
2015-03-08	719278000
2015-03-09	742796000
2015-03-10	735669000
2015-03-11	725627000
2015-03-12	709309000
2015-03-13	679154000
2015-03-14	646853000
2015-03-15	710210000
2015-03-16	744076000
2015-03-17	730351000
2015-03-18	733379000
2015-03-19	698872000
2015-03-20	672613000
2015-03-21	660212000
2015-03-22	707525000
2015-03-23	742887000
2015-03-24	719172000
2015-03-25	725529000
2015-03-26	732964000
2015-03-27	684199000
2015-03-28	653049000
2015-03-29	716096000
2015-03-30	744876000
2015-03-31	724773000
2015-04-01	707994000
2015-04-02	695838000
2015-04-03	710488000
2015-04-04	675997000
2015-04-05	701604000
2015-04-06	762081000
2015-04-07	766895000
2015-04-08	760840000
2015-04-09	739881000
2015-04-10	686692000
2015-04-11	657947000
2015-04-12	710316000
2015-04-13	751992000
2015-04-14	751630000
2015-04-15	734909000
2015-04-16	735386000
2015-04-17	693637000
2015-04-18	648870000
2015-04-19	712318000
2015-04-20	738562000
2015-04-21	752759000
2015-04-22	751416000
2015-04-23	739401000
2015-04-24	709860000
2015-04-25	680771000
2015-04-26	752553000
2015-04-27	780021000
2015-04-28	745759000
2015-04-29	736158000
2015-04-30	694774000
2015-05-01	149815000
